주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항,배달요청사항
4632929,"포장, 포장",나우웨이팅 POS,"닭가슴살 샐러드, 숲속 샐러드","숲속토핑(110g) 추가, 고구마(50g)","오리엔탈, 오리엔탈",onsite,14600,0,14600,2020-08-18 15:22:59,-,-,X,,-
4632896,포장,나우웨이팅 POS,숲속 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-18 15:21:16,-,-,X,,-
4632783,포장,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-18 15:16:15,-,-,X,,-
4632692,매장식사,나우웨이팅 POS,이너프 샐러드,스위트콘 X,오리엔탈,onsite,4300,0,4300,2020-08-18 15:12:03,-,-,X,,-
4632668,매장식사,나우웨이팅 POS,이너프 샐러드,올리브 X,발사믹,onsite,4300,0,4300,2020-08-18 15:11:03,-,-,X,,-
4632430,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,렌치,onsite,5900,0,5900,2020-08-18 15:01:07,-,-,X,,-
4632415,포장,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-18 15:00:34,-,-,X,,-
4630733,"매장식사, 매장식사",나우웨이팅 POS,"목살 샐러드, 닭가슴살 샐러드",숲속토핑(110g) 추가,"오리엔탈, 발사믹",onsite,14400,0,14400,2020-08-18 13:54:10,-,-,X,,-
4630499,포장,나우웨이팅 POS,이너프 샐러드,,렌치,onsite,4300,0,4300,2020-08-18 13:45:16,-,-,X,,-
4630433,포장,나우웨이팅 POS,이너프 샐러드,,오리엔탈,onsite,4300,0,4300,2020-08-18 13:43:44,-,-,X,,-
4630189,포장,나우웨이팅 POS,목살 샐러드,고구마 50g 추가,렌치,onsite,7100,0,7100,2020-08-18 13:36:26,-,-,X,,-
4630098,포장,나우웨이팅 POS,닭가슴살 샐러드,양파X,발사믹,onsite,5900,0,5900,2020-08-18 13:34:18,-,-,X,,-
4629973,포장,나우웨이팅 POS,닭가슴살 샐러드,,렌치,onsite,5900,0,5900,2020-08-18 13:30:43,-,-,X,,-
4629872,포장,나우웨이팅 POS,이너프 샐러드,할라피뇨 X,오리엔탈,onsite,4300,0,4300,2020-08-18 13:28:10,-,-,X,,-
4629757,매장식사,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-18 13:25:19,-,-,X,,-
4629555,포장,나우웨이팅 POS,목살 샐러드,,렌치,onsite,6400,0,6400,2020-08-18 13:20:32,-,-,X,,-
4629500,포장,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-18 13:19:28,-,-,X,,-
4629002,매장식사,나우웨이팅 POS,목살 샐러드,"강낭콩 X, 올리브 X, 할라피뇨 X",오리엔탈,onsite,6400,0,6400,2020-08-18 13:09:00,-,-,X,,-
4628965,매장식사,나우웨이팅 POS,목살 샐러드,"할라피뇨 X, 고구마(50g)",오리엔탈,onsite,7100,0,7100,2020-08-18 13:08:01,-,-,X,,-
4628902,"포장, 포장",나우웨이팅 POS,"목살 샐러드, 훈제연어 샐러드","고구마(100g), 연어(100g) 추가, 고구마(100g)","발사믹, 렌치",onsite,19600,0,19600,2020-08-18 13:06:35,-,-,X,,-
4628853,매장식사,나우웨이팅 POS,훈제연어 샐러드,,렌치,onsite,6900,0,6900,2020-08-18 13:05:35,-,-,X,,-
4628813,매장식사,나우웨이팅 POS,닭가슴살 샐러드,"강낭콩 X, 고구마(50g)",발사믹,onsite,6600,0,6600,2020-08-18 13:04:16,-,-,X,,-
4628632,"매장식사, 매장식사",나우웨이팅 POS,"훈제연어 샐러드, 목살 샐러드","연어(100g) 추가, 스위트콘 X, 방울토마토 X, 양파 X, 계란 X, 아몬드 X, 목살(100g) 추가, 스위트콘 X, 강낭콩 X, 계란 X, 아몬드 X","발사믹, 발사믹",onsite,19400,0,19400,2020-08-18 13:00:23,-,-,X,,-
4628610,포장,나우웨이팅 POS,이너프 샐러드,,렌치,onsite,4300,0,4300,2020-08-18 12:59:58,-,-,X,,-
4627786,매장식사,나우웨이팅 POS,이너프 샐러드,고구마(50g),발사믹,onsite,5000,0,5000,2020-08-18 12:43:08,-,-,X,,-
4627408,포장,나우웨이팅 POS,닭가슴살 샐러드,"목살(100g) 추가, 고구마(100g)",오리엔탈,onsite,9900,0,9900,2020-08-18 12:37:10,-,-,X,,-
4627322,포장,나우웨이팅 POS,닭가슴살 샐러드,"목살(100g) 추가, 고구마(50g)",오리엔탈,onsite,9200,0,9200,2020-08-18 12:35:57,-,-,X,,-
4626963,"포장, 포장",나우웨이팅 POS,"훈제연어 샐러드, 닭가슴살 샐러드",목살(100g) 추가,"렌치, 오리엔탈",onsite,15400,0,15400,2020-08-18 12:29:53,-,-,X,,-
4626842,포장,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-18 12:27:42,-,-,X,,-
4626665,매장식사,나우웨이팅 POS,숲속 샐러드,"할라피뇨 X, 양파 X, 고구마(50g)",렌치,onsite,6600,0,6600,2020-08-18 12:24:24,-,-,X,,-
4626639,매장식사,나우웨이팅 POS,훈제연어 샐러드,올리브 X,오리엔탈,onsite,6900,0,6900,2020-08-18 12:23:53,-,-,X,,-
4626579,"매장식사, 매장식사",나우웨이팅 POS,"훈제연어 샐러드, 이너프 샐러드",,"렌치, 발사믹",onsite,11200,0,11200,2020-08-18 12:22:48,-,-,X,,-
4626357,포장,나우웨이팅 POS,훈제연어 샐러드,고구마 50g 추가,렌치,onsite,7600,0,7600,2020-08-18 12:19:34,-,-,X,,-
4625949,"포장, 포장",나우웨이팅 POS,"닭가슴살 샐러드, 닭가슴살 샐러드","방울토마토 X, 고구마(100g), 강낭콩 X, 올리브 X, 방울토마토 X, 고구마(100g)","오리엔탈, 렌치",onsite,14600,0,14600,2020-08-18 12:12:44,-,-,X,,-
4625866,포장,나우웨이팅 POS,닭가슴살 샐러드,숲속토핑(110g) 추가,오리엔탈,onsite,8000,0,8000,2020-08-18 12:11:23,-,-,X,,-
4625623,포장,나우웨이팅 POS,"숲속 샐러드, 숲속 샐러드","목살(100g) 추가, 올리브 X, 할라피뇨 X",오리엔탈,onsite,17000,0,17000,2020-08-18 12:06:28,-,-,X,,-
4625567,포장,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,3900,2020-08-18 12:05:25,-,-,X,,-
4625519,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-18 12:04:33,-,-,X,,-
